node #3: {'weights': [0.3410392414463555, 9.082808135770968, -2.494680078134165, -2.0948208167715134, 1.6041561594262814, -7.298036230905976], 'output': 0.0006777976813580792, 'delta': -0.00020520195726297032}
node #4: {'weights': [0.3031164922880567, -0.24213089545509953, -0.273534874595364, -0.32810730870712734, 0.9800683278049731, -5.889445847874925], 'output': 0.0027690700707989607, 'delta': -0.00029745856041445633}
node #5: {'weights': [0.32110794742437465, 0.5964218107388606, -0.4455102557649423, -0.24631761398665636, -0.14803094030964764, -5.592820815069296], 'output': 0.0037167917205100033, 'delta': -0.0001649635903920966}
node #6: {'weights': [6.631808536366367, -2.1501374246736837, 1.4621382396674991, 12.240652578146442, 0.7698394392098936, -5.156664415563325], 'output': 0.005845526710500346, 'delta': -0.0020438804837655034}
node #7: {'weights': [5.974144731446138, 3.0225762127670666, 13.899230675310658, 8.165905723763323, 0.11568012059064008, -5.823139194400938], 'output': 0.003003565544315221, 'delta': -0.0018183337091794206}
node #8: {'weights': [5.847968535149221, -0.8080986868236931, -5.450058723966014, 8.119573064577843, 8.177388212817307, -6.333350392629707], 'output': 0.0018259741795840566, 'delta': -0.0029527830093240104}
output layer: [{'weights': [-1.5193840811295194, -0.23732270062002045, -0.33508649665880147, -2.9311633343367616, -0.8579467859262623, -0.4653414783877915, -2.977425225275932, -5.549704222438532, -13.027798821962605, 0.08121650099205824], 'output': 0.21320855267680236, 'delta': 0.13198478908878705}, {'weights': [-1.1585285790008764, -0.20321117896733495, -0.7856849236636442, -5.335097517757082, 0.3639704819298173, -0.33149526284161607, -1.8141579162659456, -8.078887679736148, -0.7175619071097389, -2.179275207754452], 'output': 0.10699920256851099, 'delta': -0.010223813739472478}, {'weights': [-0.8754387928012429, -0.7093809392128446, -0.38246836409208257, -1.880316534034693, -0.6389645496710924, -0.8985513614230747, -1.7492875405462707, -2.7800458077551538, -6.114310288850107, -1.9841744122411296], 'output': 0.13345119214611986, 'delta': -0.015432558953584575}, {'weights': [5.028067644762437, -0.622415001309953, -1.0692998441184887, -3.138436285454321, 0.32013336357900596, -0.5652359460764612, 8.706361458899524, 0.8042998252500972, 3.889267389530512, -3.897669367834047], 'output': 0.02100520502088194, 'delta': -0.00043195075001970477}, {'weights': [-2.8642540343980576, -0.4073186272186925, -0.36441811047014566, 7.357503594769822, 0.04665902574738993, -0.1687731077582178, -3.443266173078128, -7.040386273368852, 2.986295794749235, -4.479131815856546], 'output': 0.01084070216610639, 'delta': -0.00011624681520884095}, {'weights': [1.935046185954216, -1.2326197339975942, -0.14741850615452728, 1.580911486342103, -0.6707445217675079, -0.5408558341259909, -7.196032300897932, 10.13501035387928, -3.945158244321187, -5.445813814665808], 'output': 0.004184696322806311, 'delta': -1.7438402237337962e-05}]
node #0: {'weights': [-1.5193840811295194, -0.23732270062002045, -0.33508649665880147, -2.9311633343367616, -0.8579467859262623, -0.4653414783877915, -2.977425225275932, -5.549704222438532, -13.027798821962605, 0.08121650099205824], 'output': 0.21320855267680236, 'delta': 0.13198478908878705}
node #1: {'weights': [-1.1585285790008764, -0.20321117896733495, -0.7856849236636442, -5.335097517757082, 0.3639704819298173, -0.33149526284161607, -1.8141579162659456, -8.078887679736148, -0.7175619071097389, -2.179275207754452], 'output': 0.10699920256851099, 'delta': -0.010223813739472478}
node #2: {'weights': [-0.8754387928012429, -0.7093809392128446, -0.38246836409208257, -1.880316534034693, -0.6389645496710924, -0.8985513614230747, -1.7492875405462707, -2.7800458077551538, -6.114310288850107, -1.9841744122411296], 'output': 0.13345119214611986, 'delta': -0.015432558953584575}
node #3: {'weights': [5.028067644762437, -0.622415001309953, -1.0692998441184887, -3.138436285454321, 0.32013336357900596, -0.5652359460764612, 8.706361458899524, 0.8042998252500972, 3.889267389530512, -3.897669367834047], 'output': 0.02100520502088194, 'delta': -0.00043195075001970477}
node #4: {'weights': [-2.8642540343980576, -0.4073186272186925, -0.36441811047014566, 7.357503594769822, 0.04665902574738993, -0.1687731077582178, -3.443266173078128, -7.040386273368852, 2.986295794749235, -4.479131815856546], 'output': 0.01084070216610639, 'delta': -0.00011624681520884095}
node #5: {'weights': [1.935046185954216, -1.2326197339975942, -0.14741850615452728, 1.580911486342103, -0.6707445217675079, -0.5408558341259909, -7.196032300897932, 10.13501035387928, -3.945158244321187, -5.445813814665808], 'output': 0.004184696322806311, 'delta': -1.7438402237337962e-05}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 3.0
predicted: 1.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 5.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 5.0; actual: 7.0
l_rate: 10; n_epoch: 300, n_hidden: [9, 5]
epoch: 0, lrate: 10.000, error: 229.68700472
epoch: 100, lrate: 10.000, error: 159.17367012
epoch: 200, lrate: 10.000, error: 161.21498784
epoch: 300, lrate: 10.000, error: 160.91460069
the trained network:
there are a total of 2 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 5 nodes in the 2nd hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [17.65793549350111, -4.63896978096233, -17.865620643909875, -15.364418899637855, -1.2566372304625644, 2.8507327656606796, 22.493615539510024, 3.222935863959336, -4.09508956915882, -5.723701535043877], 'output': 3.358920138727443e-14, 'delta': -8.479639867252155e-17}, {'weights': [-0.1328024490833592, -0.3660835628522663, 2.7003816664941565, 3.204034165886495, 1.7543180691685727, 2.0905788421371603, 0.9585564918093913, 2.674740502206322, 1.1924840848287388, -2.2902923009427], 'output': 0.001329114590612601, 'delta': -3.964329401252302e-07}, {'weights': [-1.0228802986321508, -1.1126511752808286, 5.385166455416278, 9.842928896385699, -1.7145828049458447, 8.834874044102722, 1.6350580687288228, 2.5536471527628084, 4.865048834411715, -7.654964915281356], 'output': 1.943319778314269e-09, 'delta': -5.269773886152377e-12}, {'weights': [0.43888396257914375, 0.09794229120078914, 4.1376940776612, 4.088651504520632, -1.2984628928858852, 4.213544521426318, 1.656496771770542, 0.6120771327682607, 3.076216070309795, -3.6905564769671186], 'output': 9.76605797940171e-05, 'delta': -1.2894522585595127e-07}, {'weights': [-5.375804138903671, 6.280072461301816, -7.23179482999261, 12.930131730563039, -2.7215737342191564, 4.062573591819875, -9.437529752828546, 21.045499993044672, -4.237575573402963, 0.7880214770222383], 'output': 9.700240945699592e-13, 'delta': -1.4465543919390292e-15}, {'weights': [-0.16523748581379924, 4.490019808966319, 4.736821791521311, -13.583064276980897, 3.6731659139790778, -16.265112472162745, -6.165472337371589, -4.462001614163132, -3.9160373946142593, 13.96435521869209], 'output': 1.0, 'delta': 0.0}, {'weights': [0.5604136836399798, 0.3730986459561847, 4.479397609070296, 2.1634072617199083, -0.8763643939832505, 3.1616771606390737, 1.6892257017476908, -0.7051316019674571, 2.8206530587407372, -2.778851879256643], 'output': 0.005607106722247593, 'delta': -3.7152550629393583e-06}, {'weights': [3.912580327788151, 3.093137812970623, 26.78409051372646, -5.563059962697822, -0.9770275078054358, 16.78345654469648, -6.471074002394727, 5.665460003949809, 12.025811324162856, -10.84591691801326], 'output': 5.78170051882399e-08, 'delta': 2.017150071014053e-10}, {'weights': [-2.924892417511095, 2.187155500952946, -6.971829840786724, 17.22121285552964, 0.1459738480747436, 1.5959218974331906, -2.4438315115309224, 12.807763469814462, -1.661328583770533, -1.4180198030643236], 'output': 3.3090805449802514e-11, 'delta': 3.7486817052589505e-14}]
node #0: {'weights': [17.65793549350111, -4.63896978096233, -17.865620643909875, -15.364418899637855, -1.2566372304625644, 2.8507327656606796, 22.493615539510024, 3.222935863959336, -4.09508956915882, -5.723701535043877], 'output': 3.358920138727443e-14, 'delta': -8.479639867252155e-17}
node #1: {'weights': [-0.1328024490833592, -0.3660835628522663, 2.7003816664941565, 3.204034165886495, 1.7543180691685727, 2.0905788421371603, 0.9585564918093913, 2.674740502206322, 1.1924840848287388, -2.2902923009427], 'output': 0.001329114590612601, 'delta': -3.964329401252302e-07}
node #2: {'weights': [-1.0228802986321508, -1.1126511752808286, 5.385166455416278, 9.842928896385699, -1.7145828049458447, 8.834874044102722, 1.6350580687288228, 2.5536471527628084, 4.865048834411715, -7.654964915281356], 'output': 1.943319778314269e-09, 'delta': -5.269773886152377e-12}
node #3: {'weights': [0.43888396257914375, 0.09794229120078914, 4.1376940776612, 4.088651504520632, -1.2984628928858852, 4.213544521426318, 1.656496771770542, 0.6120771327682607, 3.076216070309795, -3.6905564769671186], 'output': 9.76605797940171e-05, 'delta': -1.2894522585595127e-07}
node #4: {'weights': [-5.375804138903671, 6.280072461301816, -7.23179482999261, 12.930131730563039, -2.7215737342191564, 4.062573591819875, -9.437529752828546, 21.045499993044672, -4.237575573402963, 0.7880214770222383], 'output': 9.700240945699592e-13, 'delta': -1.4465543919390292e-15}
node #5: {'weights': [-0.16523748581379924, 4.490019808966319, 4.736821791521311, -13.583064276980897, 3.6731659139790778, -16.265112472162745, -6.165472337371589, -4.462001614163132, -3.9160373946142593, 13.96435521869209], 'output': 1.0, 'delta': 0.0}
node #6: {'weights': [0.5604136836399798, 0.3730986459561847, 4.479397609070296, 2.1634072617199083, -0.8763643939832505, 3.1616771606390737, 1.6892257017476908, -0.7051316019674571, 2.8206530587407372, -2.778851879256643], 'output': 0.005607106722247593, 'delta': -3.7152550629393583e-06}
node #7: {'weights': [3.912580327788151, 3.093137812970623, 26.78409051372646, -5.563059962697822, -0.9770275078054358, 16.78345654469648, -6.471074002394727, 5.665460003949809, 12.025811324162856, -10.84591691801326], 'output': 5.78170051882399e-08, 'delta': 2.017150071014053e-10}
node #8: {'weights': [-2.924892417511095, 2.187155500952946, -6.971829840786724, 17.22121285552964, 0.1459738480747436, 1.5959218974331906, -2.4438315115309224, 12.807763469814462, -1.661328583770533, -1.4180198030643236], 'output': 3.3090805449802514e-11, 'delta': 3.7486817052589505e-14}
layer 1: [{'weights': [-0.5712096883533122, 0.4823909922733309, 0.33700472069044757, -0.012916222170714224, -0.8828512659022705, -0.4024676833376608, 0.3613296637963577, -0.8954884170727899, 0.18274255880560691, -5.144268581920903], 'output': 0.003895555195765853, 'delta': -2.725171515449999e-06}, {'weights': [-0.48875865402898505, -0.0877859653992296, -0.19830882289627044, -0.11314404946768447, -1.2067357136346064, -0.4868573327015887, 0.372732282008836, 0.03506646714463966, -0.3440966478273432, -5.256195338008249], 'output': 0.003194554611755976, 'delta': 0.00010087270969944281}, {'weights': [15.261777320543937, 0.4357319246464883, 9.505647193492601, 4.574948852731755, -6.630393899308155, -7.143113482506871, 1.7084499111029685, -6.972090501118066, -8.802287338951587, -0.5705405992930644], 'output': 0.0004534815586594366, 'delta': -0.00024733122394584336}, {'weights': [-5.393758051185629, 0.15321993819589705, -0.00256713712216, -0.42327525804825245, -3.410340174055894, 11.889273261252521, -0.5716035720459878, -11.383472538229185, -2.4569440038984225, 1.3219434766112517], 'output': 0.9999981644567569, 'delta': 2.5536891989160084e-07}, {'weights': [-6.363534472041285, 0.8853008986866021, 1.6640566285855163, 0.8691025079800438, 14.74644112225548, -6.438299164978326, 1.3725074251334828, -8.626424370775414, 4.938705741331583, -1.9987015255107925], 'output': 0.00021949532046018345, 'delta': -0.00020418268268425225}]
node #0: {'weights': [-0.5712096883533122, 0.4823909922733309, 0.33700472069044757, -0.012916222170714224, -0.8828512659022705, -0.4024676833376608, 0.3613296637963577, -0.8954884170727899, 0.18274255880560691, -5.144268581920903], 'output': 0.003895555195765853, 'delta': -2.725171515449999e-06}
node #1: {'weights': [-0.48875865402898505, -0.0877859653992296, -0.19830882289627044, -0.11314404946768447, -1.2067357136346064, -0.4868573327015887, 0.372732282008836, 0.03506646714463966, -0.3440966478273432, -5.256195338008249], 'output': 0.003194554611755976, 'delta': 0.00010087270969944281}
node #2: {'weights': [15.261777320543937, 0.4357319246464883, 9.505647193492601, 4.574948852731755, -6.630393899308155, -7.143113482506871, 1.7084499111029685, -6.972090501118066, -8.802287338951587, -0.5705405992930644], 'output': 0.0004534815586594366, 'delta': -0.00024733122394584336}
node #3: {'weights': [-5.393758051185629, 0.15321993819589705, -0.00256713712216, -0.42327525804825245, -3.410340174055894, 11.889273261252521, -0.5716035720459878, -11.383472538229185, -2.4569440038984225, 1.3219434766112517], 'output': 0.9999981644567569, 'delta': 2.5536891989160084e-07}
node #4: {'weights': [-6.363534472041285, 0.8853008986866021, 1.6640566285855163, 0.8691025079800438, 14.74644112225548, -6.438299164978326, 1.3725074251334828, -8.626424370775414, 4.938705741331583, -1.9987015255107925], 'output': 0.00021949532046018345, 'delta': -0.00020418268268425225}
output layer: [{'weights': [-0.5383374975474364, 0.2070960006177748, -9.683481349973636, 2.044556638216136, -16.11844041606428, -3.05268926139466], 'output': 0.08258728534717508, 'delta': 0.0695092657141274}, {'weights': [-0.06180509499849727, 0.15543773029075542, 0.9663042729790964, -4.67881459111509, -9.174545613271867, 0.9137129175912292], 'output': 0.022838162413432814, 'delta': -0.0005096696957040657}, {'weights': [-1.0030585741871925, -0.45841181359033345, -3.382152449967121, -1.7009913990621566, -5.07896735675683, -0.3119250106413748], 'output': 0.2137667511533615, 'delta': -0.035927890575869356}, {'weights': [-0.6999727908659503, -1.5715654175227234, 10.291168582497967, -6.9101650115623725, 9.553939491536775, -5.20891811272472], 'output': 5.44910478223767e-06, 'delta': -2.9692581128937954e-11}, {'weights': [-0.5462960814987157, -0.6259139140456317, -4.032942132181199, 3.206617786585477, -2.514493633230011, -6.451024196257752], 'output': 0.038321262649544344, 'delta': -0.0014122436621954585}, {'weights': [-1.230193223790072, -2.180155831851137, -8.027788799696182, 7.641602704446322, 8.031936751339014, -12.254252532146403], 'output': 0.00971396448723884, 'delta': -9.344448562610036e-05}]
node #0: {'weights': [-0.5383374975474364, 0.2070960006177748, -9.683481349973636, 2.044556638216136, -16.11844041606428, -3.05268926139466], 'output': 0.08258728534717508, 'delta': 0.0695092657141274}
node #1: {'weights': [-0.06180509499849727, 0.15543773029075542, 0.9663042729790964, -4.67881459111509, -9.174545613271867, 0.9137129175912292], 'output': 0.022838162413432814, 'delta': -0.0005096696957040657}
node #2: {'weights': [-1.0030585741871925, -0.45841181359033345, -3.382152449967121, -1.7009913990621566, -5.07896735675683, -0.3119250106413748], 'output': 0.2137667511533615, 'delta': -0.035927890575869356}
node #3: {'weights': [-0.6999727908659503, -1.5715654175227234, 10.291168582497967, -6.9101650115623725, 9.553939491536775, -5.20891811272472], 'output': 5.44910478223767e-06, 'delta': -2.9692581128937954e-11}
node #4: {'weights': [-0.5462960814987157, -0.6259139140456317, -4.032942132181199, 3.206617786585477, -2.514493633230011, -6.451024196257752], 'output': 0.038321262649544344, 'delta': -0.0014122436621954585}
node #5: {'weights': [-1.230193223790072, -2.180155831851137, -8.027788799696182, 7.641602704446322, 8.031936751339014, -12.254252532146403], 'output': 0.00971396448723884, 'delta': -9.344448562610036e-05}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 3.0
predicted: 1.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 1.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 1.0; actual: 7.0
l_rate: 10; n_epoch: 300, n_hidden: [9, 9]
epoch: 0, lrate: 10.000, error: 226.96730998
epoch: 100, lrate: 10.000, error: 169.37245646
epoch: 200, lrate: 10.000, error: 161.70644555
epoch: 300, lrate: 10.000, error: 147.49958835
the trained network:
there are a total of 2 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 9 nodes in the 2nd hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [5.605233561655553, 6.7718675851038235, 3.316119776255215, -1.9342983298250513, -3.1380839833643304, 1.4828301120287983, 0.3775329425087019, 4.120049442354764, 10.690789305507716, -2.3682583316963433], 'output': 5.870802629092462e-07, 'delta': 6.584200393009373e-09}, {'weights': [13.042171334988863, -7.449261219138816, -8.13044240185111, -0.1863959375219186, -6.761044057701578, 5.015737369805614, 12.143473993904884, 3.0132667480313957, 8.297265392169933, -1.2097154739553178], 'output': 5.804666266742946e-12, 'delta': 5.4799930324499174e-14}, {'weights': [1.118143775397783, 3.631834994261102, -1.252649932541455, 7.938688144140871, -7.394629112607264, 9.285783347245856, -4.94363319100703, 16.694119270074374, 2.6161295346690436, -2.519826420775466], 'output': 6.06861036044872e-15, 'delta': 2.331342655811457e-17}, {'weights': [2.1046239710257435, 4.226346935997849, -8.474957066980936, 17.394016973101596, -6.237461910644143, -4.232935873882527, -8.372748588804832, 19.569778529470103, 9.486529289796444, 5.722692037265956], 'output': 1.0721069691458911e-11, 'delta': -2.2578710589730772e-13}, {'weights': [-0.11585827377444304, 6.348092530877547, 9.55614934254507, 15.566106283477316, -18.891022349229445, 8.359493361971758, -7.076455764969775, -0.7808923703769016, 24.40675660084669, 1.2852170724212741], 'output': 6.683135511890097e-08, 'delta': 3.151245675398843e-09}, {'weights': [4.536012995959084, 5.352221790465714, 1.0771545901877284, 0.5624358905399026, -3.409255933318821, 0.8404507869606037, -0.6629168581562151, 2.7033587258726066, 11.571960253897842, -0.27829006076805574], 'output': 1.0219814833399301e-05, 'delta': 1.3045081899371858e-07}, {'weights': [3.917452896590036, 2.975350041440185, 7.958700561555534, 8.158573779814033, -7.041892415963884, 5.2062829618729705, 5.057363802922389, -1.823090941685262, 15.438783475705494, -7.758351115684291], 'output': 1.2495107126276207e-09, 'delta': 5.7879080653449656e-11}, {'weights': [-3.2006087221559913, 19.433350360211225, -15.388285397379294, 7.6129306140464985, 15.174938382623694, -7.026037437672287, -1.90382263814651, 14.871981526701438, -1.4807999433085346, -8.889819957918087], 'output': 3.8311751943525804e-14, 'delta': -4.460346492042821e-15}, {'weights': [4.078606659389634, -5.045324046590751, 5.3919147019029765, 15.001655394967901, -5.433058764657655, 3.3860846130355244, 0.5745200987381278, 22.182374320776685, 7.396342885586737, -5.891694128708935], 'output': 5.481608660973997e-17, 'delta': -2.595722223775145e-18}]
node #0: {'weights': [5.605233561655553, 6.7718675851038235, 3.316119776255215, -1.9342983298250513, -3.1380839833643304, 1.4828301120287983, 0.3775329425087019, 4.120049442354764, 10.690789305507716, -2.3682583316963433], 'output': 5.870802629092462e-07, 'delta': 6.584200393009373e-09}
node #1: {'weights': [13.042171334988863, -7.449261219138816, -8.13044240185111, -0.1863959375219186, -6.761044057701578, 5.015737369805614, 12.143473993904884, 3.0132667480313957, 8.297265392169933, -1.2097154739553178], 'output': 5.804666266742946e-12, 'delta': 5.4799930324499174e-14}
node #2: {'weights': [1.118143775397783, 3.631834994261102, -1.252649932541455, 7.938688144140871, -7.394629112607264, 9.285783347245856, -4.94363319100703, 16.694119270074374, 2.6161295346690436, -2.519826420775466], 'output': 6.06861036044872e-15, 'delta': 2.331342655811457e-17}
node #3: {'weights': [2.1046239710257435, 4.226346935997849, -8.474957066980936, 17.394016973101596, -6.237461910644143, -4.232935873882527, -8.372748588804832, 19.569778529470103, 9.486529289796444, 5.722692037265956], 'output': 1.0721069691458911e-11, 'delta': -2.2578710589730772e-13}
node #4: {'weights': [-0.11585827377444304, 6.348092530877547, 9.55614934254507, 15.566106283477316, -18.891022349229445, 8.359493361971758, -7.076455764969775, -0.7808923703769016, 24.40675660084669, 1.2852170724212741], 'output': 6.683135511890097e-08, 'delta': 3.151245675398843e-09}
node #5: {'weights': [4.536012995959084, 5.352221790465714, 1.0771545901877284, 0.5624358905399026, -3.409255933318821, 0.8404507869606037, -0.6629168581562151, 2.7033587258726066, 11.571960253897842, -0.27829006076805574], 'output': 1.0219814833399301e-05, 'delta': 1.3045081899371858e-07}
node #6: {'weights': [3.917452896590036, 2.975350041440185, 7.958700561555534, 8.158573779814033, -7.041892415963884, 5.2062829618729705, 5.057363802922389, -1.823090941685262, 15.438783475705494, -7.758351115684291], 'output': 1.2495107126276207e-09, 'delta': 5.7879080653449656e-11}
node #7: {'weights': [-3.2006087221559913, 19.433350360211225, -15.388285397379294, 7.6129306140464985, 15.174938382623694, -7.026037437672287, -1.90382263814651, 14.871981526701438, -1.4807999433085346, -8.889819957918087], 'output': 3.8311751943525804e-14, 'delta': -4.460346492042821e-15}
node #8: {'weights': [4.078606659389634, -5.045324046590751, 5.3919147019029765, 15.001655394967901, -5.433058764657655, 3.3860846130355244, 0.5745200987381278, 22.182374320776685, 7.396342885586737, -5.891694128708935], 'output': 5.481608660973997e-17, 'delta': -2.595722223775145e-18}
layer 1: [{'weights': [-0.6766148307499192, 10.362897736276693, 0.11721684765469594, -0.6131741673959336, 10.694376868451855, -3.998577817386664, 0.10892405326779063, 1.6105407184413452, 7.227253060889191, -7.067922050404349], 'output': 0.0008562235586098969, 'delta': -0.0005840138453528298}, {'weights': [-0.060837308414378864, -0.14859804569676668, -0.6338570852687819, -0.2501580273722641, -0.06105910335385119, 0.39514251719344995, 0.49354107060335634, 0.8131269420667768, -0.05257708413535039, -5.614818716369839], 'output': 0.0036381428728949066, 'delta': -0.00021775669965065552}, {'weights': [0.12972176149135775, -0.49073628667015834, -0.7439480034430571, -0.5648540330457702, -0.377758938817459, -0.11019997516055084, 0.1362352916252782, -0.7524811510088335, -0.6431761013220236, -5.50474220716907], 'output': 0.004039543975280587, 'delta': 0.000283246349339293}, {'weights': [5.075493643633204, 6.253347911672108, 0.8373438859983231, -2.9131173098745156, 7.484297385950983, 7.267969264592482, 4.027036244179899, -5.858554154384494, 1.6963429153251635, -14.058541256091969], 'output': 7.843130725011392e-07, 'delta': -6.7090246411979e-07}, {'weights': [0.04497548626126282, 0.35551449498585413, -0.4493935825074227, -0.5729672213305653, 0.20692957596345637, 0.04460999232712512, 0.3182625773537253, -0.23656882628956571, -0.6104243656393986, -5.565450330185002], 'output': 0.003814867412154005, 'delta': -4.226270301980463e-05}, {'weights': [0.2166503341617456, 1.0133440723973093, -4.053410492925052, 0.7068660531252354, -0.22225722265194742, -0.2789304561265737, -1.788615243511768, 0.8457775902316195, 4.518544347846317, -6.291461094238116], 'output': 0.0018605529819400494, 'delta': -0.0006444587375363082}, {'weights': [-1.2385688447801497, 3.3568669335980332, 11.638774477993591, 13.483140374649427, 2.2803459820347176, 2.344323826906462, 5.057925692017419, 2.6896418011136953, 7.808200087277496, -10.425710566429938], 'output': 2.966689554091723e-05, 'delta': -2.3808139904498742e-05}, {'weights': [-0.21661954108917075, -0.4190147462088936, -0.21929262009037562, 0.20492777341321275, 0.12381188044594435, -0.3279090451810454, -0.14071086141375205, -0.37504590353917544, 0.2327104251030972, -5.536626649755852], 'output': 0.003924712674448115, 'delta': -1.0042018061073533e-05}, {'weights': [-1.560065915618071, -2.3433157297777316, -0.23322250817849732, 2.947212902845782, -7.657154565039804, -1.4945431014297463, -6.513078153419914, 16.413040830895195, 5.717483660871199, -4.487483816181595], 'output': 0.011917729597217755, 'delta': -0.0069761735413334395}]
node #0: {'weights': [-0.6766148307499192, 10.362897736276693, 0.11721684765469594, -0.6131741673959336, 10.694376868451855, -3.998577817386664, 0.10892405326779063, 1.6105407184413452, 7.227253060889191, -7.067922050404349], 'output': 0.0008562235586098969, 'delta': -0.0005840138453528298}
node #1: {'weights': [-0.060837308414378864, -0.14859804569676668, -0.6338570852687819, -0.2501580273722641, -0.06105910335385119, 0.39514251719344995, 0.49354107060335634, 0.8131269420667768, -0.05257708413535039, -5.614818716369839], 'output': 0.0036381428728949066, 'delta': -0.00021775669965065552}
node #2: {'weights': [0.12972176149135775, -0.49073628667015834, -0.7439480034430571, -0.5648540330457702, -0.377758938817459, -0.11019997516055084, 0.1362352916252782, -0.7524811510088335, -0.6431761013220236, -5.50474220716907], 'output': 0.004039543975280587, 'delta': 0.000283246349339293}
node #3: {'weights': [5.075493643633204, 6.253347911672108, 0.8373438859983231, -2.9131173098745156, 7.484297385950983, 7.267969264592482, 4.027036244179899, -5.858554154384494, 1.6963429153251635, -14.058541256091969], 'output': 7.843130725011392e-07, 'delta': -6.7090246411979e-07}
node #4: {'weights': [0.04497548626126282, 0.35551449498585413, -0.4493935825074227, -0.5729672213305653, 0.20692957596345637, 0.04460999232712512, 0.3182625773537253, -0.23656882628956571, -0.6104243656393986, -5.565450330185002], 'output': 0.003814867412154005, 'delta': -4.226270301980463e-05}
node #5: {'weights': [0.2166503341617456, 1.0133440723973093, -4.053410492925052, 0.7068660531252354, -0.22225722265194742, -0.2789304561265737, -1.788615243511768, 0.8457775902316195, 4.518544347846317, -6.291461094238116], 'output': 0.0018605529819400494, 'delta': -0.0006444587375363082}
node #6: {'weights': [-1.2385688447801497, 3.3568669335980332, 11.638774477993591, 13.483140374649427, 2.2803459820347176, 2.344323826906462, 5.057925692017419, 2.6896418011136953, 7.808200087277496, -10.425710566429938], 'output': 2.966689554091723e-05, 'delta': -2.3808139904498742e-05}
node #7: {'weights': [-0.21661954108917075, -0.4190147462088936, -0.21929262009037562, 0.20492777341321275, 0.12381188044594435, -0.3279090451810454, -0.14071086141375205, -0.37504590353917544, 0.2327104251030972, -5.536626649755852], 'output': 0.003924712674448115, 'delta': -1.0042018061073533e-05}
node #8: {'weights': [-1.560065915618071, -2.3433157297777316, -0.23322250817849732, 2.947212902845782, -7.657154565039804, -1.4945431014297463, -6.513078153419914, 16.413040830895195, 5.717483660871199, -4.487483816181595], 'output': 0.011917729597217755, 'delta': -0.0069761735413334395}
