options: {'left_index': True, 'order_results': True, 'normalize_cols': {2: 'RI', 3: 'Na', 4: 'Mg', 5: 'Al', 6: 'Si', 7: 'K', 8: 'Ca', 9: 'Ba', 10: 'Fe'}, 'result_col': 11}
           RI        Na        Mg        Al        Si         K        Ca        Ba        Fe  result
0   -0.134328 -0.124812  1.000000 -0.495327 -0.296429 -0.980676 -0.382900 -1.000000 -1.000000       1
50   0.057946 -0.100752  0.657016 -0.862928 -0.307143 -0.971014 -0.139405 -1.000000 -0.372549       1
49  -0.312555 -0.142857  0.492205 -0.414330 -0.189286 -0.809984 -0.353160 -1.000000 -1.000000       1
48  -0.027217 -0.254135  0.679287 -0.688474 -0.221429 -0.958132 -0.146840 -1.000000 -1.000000       1
47   0.362599 -0.019549  0.648107 -0.738318 -0.371429 -0.993559 -0.184015 -1.000000 -0.607843       1
46  -0.338016 -0.260150  0.501114 -0.445483  0.039286 -0.816425 -0.368030 -1.000000 -0.372549       1
45  -0.310799 -0.169925  0.550111 -0.339564 -0.235714 -0.822866 -0.336431 -1.000000 -1.000000       1
51  -0.287972 -0.257143  0.483296 -0.383178 -0.089286 -0.806763 -0.310409 -1.000000 -0.568627       1
44  -0.410887 -0.398496  0.527840 -0.439252  0.121429 -0.800322 -0.381041 -1.000000  0.176471       1
42  -0.417032 -0.254135  0.510022 -0.352025  0.053571 -0.809984 -0.412639 -1.000000 -1.000000       1
41  -0.438104 -0.404511  0.523385 -0.433022  0.210714 -0.809984 -0.403346 -1.000000 -1.000000       1
40  -0.404741 -0.380451  0.559020 -0.482866  0.150000 -0.793881 -0.379182 -1.000000 -1.000000       1
39  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
38  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
37  -0.401229 -0.395489  0.550111 -0.339564  0.125000 -0.793881 -0.395911 -1.000000 -1.000000       1
43  -0.038630 -0.097744  0.710468 -0.732087 -0.303571 -0.945250 -0.198885 -1.000000 -1.000000       1
36  -0.302897 -0.049624  0.572383 -0.358255 -0.285714 -0.835749 -0.377323 -0.930159 -1.000000       1
52  -0.391572 -0.187970  0.278396 -0.439252  0.082143 -0.822866 -0.330855 -1.000000 -1.000000       1
55  -0.425812 -0.482707  0.207127 -0.376947  0.389286 -0.819646 -0.325279 -1.000000 -0.058824       1
69   0.040386 -0.224060  0.594655 -0.669782 -0.221429 -0.961353 -0.118959 -1.000000 -0.882353       1
68  -0.089552 -0.281203  0.594655 -0.619938 -0.146429 -0.925926 -0.184015 -1.000000 -0.372549       1
67  -0.089552 -0.302256  0.625835 -0.638629 -0.103571 -0.938808 -0.178439 -1.000000 -0.333333       1
66  -0.089552 -0.302256  0.625835 -0.638629 -0.139286 -0.938808 -0.178439 -1.000000 -0.333333       1
65  -0.136084 -0.109774  0.599109 -0.482866 -0.232143 -0.971014 -0.262082 -1.000000 -1.000000       1
64  -0.071993 -0.172932  0.665924 -0.619938 -0.214286 -0.942029 -0.223048 -1.000000 -0.725490       1
54  -0.417910 -0.254135  0.251670 -0.376947  0.132143 -0.835749 -0.332714 -1.000000 -0.647059       1
63  -0.023705  0.034586  0.697105 -0.694704 -0.450000 -1.000000 -0.208178 -1.000000 -1.000000       1
61  -0.243196 -0.073684  0.594655 -0.358255 -0.317857 -0.961353 -0.397770 -0.561905 -1.000000       1
60  -0.306409 -0.136842  0.612472 -0.489097  0.010714 -0.954911 -0.381041 -1.000000 -1.000000       1
59  -0.438982 -0.200000  0.630290 -0.439252  0.064286 -0.816425 -0.472119 -1.000000 -0.568627       1
..        ...       ...       ...       ...       ...       ...       ...       ...       ...     ...
180 -0.838455  0.103759 -0.224944 -0.221184  0.692857 -1.000000 -0.598513 -1.000000 -1.000000       6
204 -0.559263  0.269173 -1.000000  0.233645  0.246429 -1.000000 -0.390335 -0.574603 -1.000000       7
201 -0.527656 -0.633083 -1.000000 -0.439252  0.917857 -0.130435 -0.349442 -1.000000 -1.000000       7
202 -0.649693  0.239098 -1.000000  0.327103  0.396429 -1.000000 -0.449814 -0.644444 -1.000000       7
203 -0.523266  0.224060 -1.000000  0.059190  0.178571 -1.000000 -0.470260  0.085714 -1.000000       7
205 -0.458297  0.269173 -1.000000 -0.059190  0.135714 -1.000000 -0.408922 -0.015873 -1.000000       7
200 -0.654960  0.329323 -1.000000  0.221184  0.317857 -1.000000 -0.459108 -0.600000 -1.000000       7
207 -0.371378  0.100752 -1.000000 -0.046729  0.089286 -0.545894 -0.806691  0.828571 -1.000000       7
208 -0.539069  0.094737 -1.000000  0.526480  0.085714 -1.000000 -0.252788 -0.657143 -1.000000       7
209 -0.553995  0.025564 -1.000000  0.613707  0.000000 -0.974235 -0.302974 -0.326984 -1.000000       7
210 -0.499561  0.260150 -1.000000  0.059190  0.160714 -1.000000 -0.447955  0.009524 -1.000000       7
211 -0.165935  0.091729 -1.000000  0.077882  0.289286 -1.000000 -0.440520  0.041270 -1.000000       7
206 -0.534680  0.266165 -1.000000 -0.015576  0.178571 -1.000000 -0.397770 -0.123810 -1.000000       7
199 -0.566286  0.287218 -1.000000  0.383178  0.157143 -0.983897 -0.368030 -0.663492 -1.000000       7
212 -0.529412  0.097744 -1.000000  0.028037  0.357143 -1.000000 -0.433086 -0.003175 -1.000000       7
197 -0.462687  0.193985 -1.000000  0.277259  0.239286 -1.000000 -0.345725 -0.580952 -1.000000       7
196 -0.612818 -0.055639 -1.000000  0.401869  0.221429 -0.954911 -0.260223 -0.485714 -0.960784       7
195 -0.622476  0.025564 -1.000000  0.489097  0.278571 -0.974235 -0.323420 -0.612698 -0.803922       7
194 -0.501317  0.151880 -1.000000  0.052960  0.242857 -1.000000 -0.425651 -0.003175 -0.725490       7
193 -0.469710  0.209023 -1.000000  0.065421  0.146429 -1.000000 -0.423792  0.009524 -0.686275       7
192 -0.553995  0.043609 -1.000000  0.557632  0.303571 -0.987118 -0.328996 -0.746032 -0.647059       7
191 -0.572432  0.239098 -1.000000  0.302181  0.239286 -1.000000 -0.381041 -0.593651 -0.647059       7
190 -0.562774 -0.052632 -0.207127 -0.065421  0.175000 -1.000000 -0.397770 -0.517460 -1.000000       7
189  0.097454  0.521805 -0.184855 -0.364486 -0.778571 -0.900161 -0.408922  0.066667 -1.000000       7
188 -0.006146  0.242105 -0.020045  0.102804 -0.839286 -0.755233 -0.195167 -1.000000 -1.000000       7
187  0.053556 -0.184962  0.487751 -0.414330 -0.082143 -0.806763 -0.368030 -1.000000 -1.000000       7
186 -0.365233  0.079699  0.452116  0.202492 -0.485714 -0.529791 -0.933086  0.034921 -1.000000       7
185 -0.985953 -0.109774  0.425390 -0.052960  0.071429 -0.433172 -1.000000 -0.244444 -1.000000       7
198 -0.634767  0.097744 -1.000000  0.476636  0.175000 -0.987118 -0.321561 -0.593651 -1.000000       7
213 -0.476734  0.052632 -1.000000  0.115265  0.267857 -1.000000 -0.407063  0.060317 -1.000000       7

[214 rows x 10 columns]
This is a classification set
class key: {0: 1.0, 1: 2.0, 2: 3.0, 3: 5.0, 4: 6.0, 5: 7.0}
the dataset is: 
[-0.13432835820895783, -0.12481203007518771, 1.0, -0.49532710280373826, -0.29642857142857115, -0.9806763285024155, -0.3828996282527881, -1.0, -1.0, 0]
node #5: {'weights': [7.627195037923971, 0.6450553049212466, 1.3579741337788216, -2.0193863345167347, 3.4403166784351993, 5.0896850154156645, -5.461616449648089, 2.7615009327632025, -1.8623525135108943, 3.423927338989751], 'output': 0.17893547700124635, 'delta': 0.05035107546050607}
node #6: {'weights': [9.148109411803542, 6.711236574102646, 4.317642176798983, -7.889878337549055, -1.9537797607607228, 3.393029576842951, 3.106306935785785, 2.18983689977053, -8.950662001824034, -1.516406843007371], 'output': 0.7211865864019379, 'delta': 0.06482913002344377}
node #7: {'weights': [2.71812968227116, -0.4552823275023944, -2.168400267709256, -1.3335435591648002, 0.6060560851836961, 1.5857378226193355, 2.140349708655601, 1.7750416901365555, 1.1945877704437327, 0.3375295269033621], 'output': 0.003712882950015009, 'delta': 0.00011226062283040415}
node #8: {'weights': [0.8529030466210807, 2.0591122515852422, -2.6753362918282253, -4.476059832093462, -2.3919867674668382, 0.8010970973765748, 5.834466421305333, 0.5355280287486534, -0.6437267434200173, -1.3841595658952803], 'output': 0.028424198927294923, 'delta': -0.01412532659863316}
output layer: [{'weights': [-1.6451682937802616, -2.551525129232131, 1.7824445539257667, 2.244821106243331, -1.8569884442491496, 3.8317374288255417, 3.350487060238854, 0.762060237960123, -5.630171179632625, -4.378296535121574], 'output': 0.6361136501105379, 'delta': 0.08422989208782987}, {'weights': [-7.460165191167074, 5.037891804450654, 6.937252734272091, -4.247715582193165, -1.4135640718013132, 1.9657341333989127, -5.456981227818101, 3.966649157219428, 7.3627094047002455, -2.5499055998036435], 'output': 0.09585284054278763, 'delta': -0.008307093471080067}, {'weights': [-2.5315436494486145, -4.525979107461241, 2.0970452151667476, 1.8009385417524908, 4.9610063655644225, -3.727962309214242, 0.033466834257081614, 0.3955639956343245, -1.9436260568536219, -6.658073160584847], 'output': 0.0948897487616294, 'delta': -0.008149671009393537}, {'weights': [3.480122843839297, 2.1924807941045015, -2.0667238254237494, -2.8016061873314704, -8.517281219256061, -5.89335529849023, -2.660438536941973, -3.580472218567527, -0.48658112995144365, 0.9085628089630994], 'output': 9.713563022098446e-05, 'delta': -9.434414151637979e-09}, {'weights': [-7.96739873886286, -3.940251444582643, -1.5304757970432954, -5.469075848009324, 5.491185074814643, -2.577129249917981, 0.8501026859770585, -0.9048288524964895, -3.10681911081627, -0.7872667930394863], 'output': 0.052335641859904865, 'delta': -0.0025956710700573236}, {'weights': [5.27720780995293, -3.513096068199969, -2.1071443608318665, -1.633734642546252, 4.381002922874599, 5.0452102990616, 1.7705710429512198, 0.01359035891880959, -4.2282621106205935, -6.337408166803817], 'output': 0.004978704482029434, 'delta': -2.4664088690398985e-05}]
node #0: {'weights': [-1.6451682937802616, -2.551525129232131, 1.7824445539257667, 2.244821106243331, -1.8569884442491496, 3.8317374288255417, 3.350487060238854, 0.762060237960123, -5.630171179632625, -4.378296535121574], 'output': 0.6361136501105379, 'delta': 0.08422989208782987}
node #1: {'weights': [-7.460165191167074, 5.037891804450654, 6.937252734272091, -4.247715582193165, -1.4135640718013132, 1.9657341333989127, -5.456981227818101, 3.966649157219428, 7.3627094047002455, -2.5499055998036435], 'output': 0.09585284054278763, 'delta': -0.008307093471080067}
node #2: {'weights': [-2.5315436494486145, -4.525979107461241, 2.0970452151667476, 1.8009385417524908, 4.9610063655644225, -3.727962309214242, 0.033466834257081614, 0.3955639956343245, -1.9436260568536219, -6.658073160584847], 'output': 0.0948897487616294, 'delta': -0.008149671009393537}
node #3: {'weights': [3.480122843839297, 2.1924807941045015, -2.0667238254237494, -2.8016061873314704, -8.517281219256061, -5.89335529849023, -2.660438536941973, -3.580472218567527, -0.48658112995144365, 0.9085628089630994], 'output': 9.713563022098446e-05, 'delta': -9.434414151637979e-09}
node #4: {'weights': [-7.96739873886286, -3.940251444582643, -1.5304757970432954, -5.469075848009324, 5.491185074814643, -2.577129249917981, 0.8501026859770585, -0.9048288524964895, -3.10681911081627, -0.7872667930394863], 'output': 0.052335641859904865, 'delta': -0.0025956710700573236}
node #5: {'weights': [5.27720780995293, -3.513096068199969, -2.1071443608318665, -1.633734642546252, 4.381002922874599, 5.0452102990616, 1.7705710429512198, 0.01359035891880959, -4.2282621106205935, -6.337408166803817], 'output': 0.004978704482029434, 'delta': -2.4664088690398985e-05}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.1; n_epoch: 500, n_hidden: [5]
epoch: 0, lrate: 0.100, error: 466.18425560
epoch: 100, lrate: 0.100, error: 189.80778320
epoch: 200, lrate: 0.100, error: 165.95282210
epoch: 300, lrate: 0.100, error: 149.33568082
epoch: 400, lrate: 0.100, error: 140.12392044
epoch: 500, lrate: 0.100, error: 133.95353997
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 5 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [-1.282019068294792, 3.21654279610798, 3.510249680862194, 5.910333306205414, -1.965150053828071, -3.1636820638549827, -3.3518446199765464, 4.844487196914169, -1.0378014049417281, 0.14603799071424134], 'output': 0.13975324601629877, 'delta': -0.03284150699572011}, {'weights': [-1.6175511625214674, 0.2788194188243229, 3.272322850993562, 2.631857223705186, 2.2659378082352926, 1.7551798828773932, -1.4291955729167107, 0.20824115137815388, 0.5034043868532387, -0.23069164094198472], 'output': 0.19866568872741933, 'delta': 0.006954176959663657}, {'weights': [3.0593608491754147, -1.958461142854724, -2.3821012590054966, 0.3702165015107856, -1.798470738889851, 1.1135622680963888, 4.268970132684362, -1.3778688147314835, 0.2824402081192353, 0.3425034941828117], 'output': 0.06375684923905116, 'delta': -0.017255503078651202}, {'weights': [1.8817011276228344, -1.980141332739999, 3.3979671066960484, -5.254107849692426, 1.4856784968095262, -1.49517322868401, 1.406167092070127, -1.6996421238972381, 4.737391863512732, 2.383282159284197], 'output': 0.9575678509451212, 'delta': 0.012740429023604227}, {'weights': [-3.220879566758672, -1.63131183257714, -3.580092407956755, 6.340234686485134, 0.5751727595317963, -1.9737864733056343, -0.42716763021035165, -1.8030438516786789, 4.708788445321232, 3.2663311276157083], 'output': 0.4982933149078929, 'delta': -0.07913790960114982}]
node #0: {'weights': [-1.282019068294792, 3.21654279610798, 3.510249680862194, 5.910333306205414, -1.965150053828071, -3.1636820638549827, -3.3518446199765464, 4.844487196914169, -1.0378014049417281, 0.14603799071424134], 'output': 0.13975324601629877, 'delta': -0.03284150699572011}
node #1: {'weights': [-1.6175511625214674, 0.2788194188243229, 3.272322850993562, 2.631857223705186, 2.2659378082352926, 1.7551798828773932, -1.4291955729167107, 0.20824115137815388, 0.5034043868532387, -0.23069164094198472], 'output': 0.19866568872741933, 'delta': 0.006954176959663657}
node #2: {'weights': [3.0593608491754147, -1.958461142854724, -2.3821012590054966, 0.3702165015107856, -1.798470738889851, 1.1135622680963888, 4.268970132684362, -1.3778688147314835, 0.2824402081192353, 0.3425034941828117], 'output': 0.06375684923905116, 'delta': -0.017255503078651202}
node #3: {'weights': [1.8817011276228344, -1.980141332739999, 3.3979671066960484, -5.254107849692426, 1.4856784968095262, -1.49517322868401, 1.406167092070127, -1.6996421238972381, 4.737391863512732, 2.383282159284197], 'output': 0.9575678509451212, 'delta': 0.012740429023604227}
node #4: {'weights': [-3.220879566758672, -1.63131183257714, -3.580092407956755, 6.340234686485134, 0.5751727595317963, -1.9737864733056343, -0.42716763021035165, -1.8030438516786789, 4.708788445321232, 3.2663311276157083], 'output': 0.4982933149078929, 'delta': -0.07913790960114982}
output layer: [{'weights': [-3.05612126288066, 0.7670359704808251, -3.245752550075644, 4.569097269904306, -3.5777803230172633, -1.5256988386934967], 'output': 0.6379426032446452, 'delta': 0.0836250624661443}, {'weights': [3.0578030447837716, 2.5843676008837035, 3.7801233852717124, 5.047572676131396, 2.740929103599905, -9.485838760738863], 'output': 0.10885075839682405, 'delta': -0.010558770742060478}, {'weights': [-0.5442200250204047, -0.15311764073342574, -1.4144650045743359, 1.5013281994167031, -1.2726530649063106, -2.594552367645072], 'output': 0.12079937629528524, 'delta': -0.012829725705684051}, {'weights': [-3.5859063779168836, 0.15523399256806963, 2.7755143813824183, -3.1470258224360936, 2.6113199521471193, -3.0406523048023373], 'output': 0.006392130080714362, 'delta': -4.059814883577855e-05}, {'weights': [-1.8954878216530655, -1.2394875509182912, -1.0572676280662805, -1.134826768056965, 1.0586067234591894, -1.5164998826734524], 'output': 0.06578416984289374, 'delta': -0.004042872257099668}, {'weights': [4.856361374222316, -1.6185015644296203, -0.779971404972146, -5.109190358802025, 0.8561701140536924, -2.5353149513320594], 'output': 0.0012372029302920838, 'delta': -1.5287773399645625e-06}]
node #0: {'weights': [-3.05612126288066, 0.7670359704808251, -3.245752550075644, 4.569097269904306, -3.5777803230172633, -1.5256988386934967], 'output': 0.6379426032446452, 'delta': 0.0836250624661443}
node #1: {'weights': [3.0578030447837716, 2.5843676008837035, 3.7801233852717124, 5.047572676131396, 2.740929103599905, -9.485838760738863], 'output': 0.10885075839682405, 'delta': -0.010558770742060478}
node #2: {'weights': [-0.5442200250204047, -0.15311764073342574, -1.4144650045743359, 1.5013281994167031, -1.2726530649063106, -2.594552367645072], 'output': 0.12079937629528524, 'delta': -0.012829725705684051}
node #3: {'weights': [-3.5859063779168836, 0.15523399256806963, 2.7755143813824183, -3.1470258224360936, 2.6113199521471193, -3.0406523048023373], 'output': 0.006392130080714362, 'delta': -4.059814883577855e-05}
node #4: {'weights': [-1.8954878216530655, -1.2394875509182912, -1.0572676280662805, -1.134826768056965, 1.0586067234591894, -1.5164998826734524], 'output': 0.06578416984289374, 'delta': -0.004042872257099668}
node #5: {'weights': [4.856361374222316, -1.6185015644296203, -0.779971404972146, -5.109190358802025, 0.8561701140536924, -2.5353149513320594], 'output': 0.0012372029302920838, 'delta': -1.5287773399645625e-06}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.1; n_epoch: 500, n_hidden: [9]
epoch: 0, lrate: 0.100, error: 458.02274816
epoch: 100, lrate: 0.100, error: 181.67638035
epoch: 200, lrate: 0.100, error: 159.22289131
epoch: 300, lrate: 0.100, error: 145.41017862
epoch: 400, lrate: 0.100, error: 136.75898585
epoch: 500, lrate: 0.100, error: 130.32438774
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [2.286571571642018, -1.265359256451979, -1.8708447629620946, 0.21486980241074652, -0.9068313783116324, -0.07220550718241629, 3.4678400509073857, -0.12318044088923627, 0.9615776988850552, 0.6171752601343974], 'output': 0.06604242850623197, 'delta': -0.017026453103345978}, {'weights': [1.2574264287873318, 0.7251707801912052, 0.5151218258454335, 0.4598146434477796, 0.6098299056497412, 1.058025376922036, 0.4686196832935897, 0.7442919333206123, 0.4425944323833948, -0.272864845507422], 'output': 0.042154391943583634, 'delta': 0.0018383488902292062}, {'weights': [-1.39699533604203, 1.045759961916017, -2.3549561466801934, 4.018278080751895, -1.0998063611181061, -3.3119180800315324, 0.9896406034110682, -1.4794240067157822, 3.46086291582314, 1.6263077763122886], 'output': 0.4773218196067983, 'delta': -0.06362532994343437}, {'weights': [-0.47021493295246236, 3.1859782443541094, 0.8188854905445837, -1.0867972015700904, -0.22508547601675216, -0.44050048923792773, 0.15547293060333509, 0.12675411431100145, 0.9382354666458218, -0.31956411383110483], 'output': 0.3142740356364185, 'delta': -0.04982649960457112}, {'weights': [3.4685346152691148, 0.6515760377851951, 3.541951845393482, -5.7760623528381, 0.5382286651345096, -0.6331342085793263, 0.8172141721803484, -0.40058110119801293, 3.9258025607135223, 2.6371148459563636], 'output': 0.8039398766089592, 'delta': 0.08975291160327489}, {'weights': [-0.42620437416028467, 3.409142688058359, -0.5640484753049786, 4.735557921268224, -1.0356722887496144, 1.9245486606279611, -1.9979653858484585, 3.2765118132570006, -1.9647954908899106, 0.33003331958265886], 'output': 0.009010484243138875, 'delta': -0.00026136374139885715}, {'weights': [1.0388781505062994, 1.417566580477572, 1.2478906872420772, 2.7030192332906324, -0.8548179915588363, -1.5187320709231007, -2.0485041984865537, 3.3321104960092596, -0.34372022562264426, 1.5495640313376104], 'output': 0.2508845348813091, 'delta': -0.0019422300588194078}, {'weights': [0.7374193615917864, -0.6261156638707887, 0.6789784857426682, 2.1102850935968247, -0.4732424836663369, 0.6111260096514289, 0.8271423491896024, 1.8589915597865947, 0.7653656219642014, 0.7284701399704029], 'output': 0.026074139285869765, 'delta': 0.0002526522683611516}, {'weights': [-5.273211461175999, 0.3179011093691285, 4.890841692335335, 6.942686552187292, -0.5397394187310005, 3.0501402710927965, -3.3211789460152326, 0.33858202974386015, 0.6365974945298917, -1.2201960855698066], 'output': 0.03455346977342679, 'delta': -0.008400576031345405}]
node #0: {'weights': [2.286571571642018, -1.265359256451979, -1.8708447629620946, 0.21486980241074652, -0.9068313783116324, -0.07220550718241629, 3.4678400509073857, -0.12318044088923627, 0.9615776988850552, 0.6171752601343974], 'output': 0.06604242850623197, 'delta': -0.017026453103345978}
node #1: {'weights': [1.2574264287873318, 0.7251707801912052, 0.5151218258454335, 0.4598146434477796, 0.6098299056497412, 1.058025376922036, 0.4686196832935897, 0.7442919333206123, 0.4425944323833948, -0.272864845507422], 'output': 0.042154391943583634, 'delta': 0.0018383488902292062}
node #2: {'weights': [-1.39699533604203, 1.045759961916017, -2.3549561466801934, 4.018278080751895, -1.0998063611181061, -3.3119180800315324, 0.9896406034110682, -1.4794240067157822, 3.46086291582314, 1.6263077763122886], 'output': 0.4773218196067983, 'delta': -0.06362532994343437}
node #3: {'weights': [-0.47021493295246236, 3.1859782443541094, 0.8188854905445837, -1.0867972015700904, -0.22508547601675216, -0.44050048923792773, 0.15547293060333509, 0.12675411431100145, 0.9382354666458218, -0.31956411383110483], 'output': 0.3142740356364185, 'delta': -0.04982649960457112}
node #4: {'weights': [3.4685346152691148, 0.6515760377851951, 3.541951845393482, -5.7760623528381, 0.5382286651345096, -0.6331342085793263, 0.8172141721803484, -0.40058110119801293, 3.9258025607135223, 2.6371148459563636], 'output': 0.8039398766089592, 'delta': 0.08975291160327489}
node #5: {'weights': [-0.42620437416028467, 3.409142688058359, -0.5640484753049786, 4.735557921268224, -1.0356722887496144, 1.9245486606279611, -1.9979653858484585, 3.2765118132570006, -1.9647954908899106, 0.33003331958265886], 'output': 0.009010484243138875, 'delta': -0.00026136374139885715}
node #6: {'weights': [1.0388781505062994, 1.417566580477572, 1.2478906872420772, 2.7030192332906324, -0.8548179915588363, -1.5187320709231007, -2.0485041984865537, 3.3321104960092596, -0.34372022562264426, 1.5495640313376104], 'output': 0.2508845348813091, 'delta': -0.0019422300588194078}
node #7: {'weights': [0.7374193615917864, -0.6261156638707887, 0.6789784857426682, 2.1102850935968247, -0.4732424836663369, 0.6111260096514289, 0.8271423491896024, 1.8589915597865947, 0.7653656219642014, 0.7284701399704029], 'output': 0.026074139285869765, 'delta': 0.0002526522683611516}
node #8: {'weights': [-5.273211461175999, 0.3179011093691285, 4.890841692335335, 6.942686552187292, -0.5397394187310005, 3.0501402710927965, -3.3211789460152326, 0.33858202974386015, 0.6365974945298917, -1.2201960855698066], 'output': 0.03455346977342679, 'delta': -0.008400576031345405}
output layer: [{'weights': [-2.9323767876514872, 0.45561752066643085, -2.505689659614186, -2.1007508176644003, 5.915893628796161, -0.8844603313885405, -0.15026699991815107, 0.10171878438739061, -2.565301346240864, -2.1816183568488006], 'output': 0.5968196803362459, 'delta': 0.0970156472386379}, {'weights': [3.3702423576147056, 0.28692298352039597, 1.612086857093134, -0.8291573061966124, 1.7945051643150365, -5.649713409926743, 1.3301725636814632, 1.2567724427865081, 5.9078822004585305, -5.117391164115289], 'output': 0.08240216000397785, 'delta': -0.006230595750441991}, {'weights': [-0.9429498691197864, -0.25609474076760524, -0.9974182093550259, 1.8740173491679852, 0.9540588853684692, -0.5604155296719464, -0.8743432445287117, 0.08742933193866315, -0.8429923949663486, -2.5553691883614253], 'output': 0.11949135676597282, 'delta': -0.012572064722619875}, {'weights': [2.5999772052108114, 0.31116090054806017, 2.9092635264112414, -1.4953385700998578, -5.615758155862461, -1.985457212107215, -2.397119850425155, 1.632577145390567, 3.5776162801453046, -2.4173732027439083], 'output': 0.0018667775269288513, 'delta': -3.478352879822202e-06}, {'weights': [-2.0856739928747543, -0.031310169925612225, 1.88637158618766, 1.0771037773217575, -2.050809835773255, -2.1413592910761867, -0.5605401560041446, -0.8710224774610724, -2.500873473320691, -1.4434036406200155], 'output': 0.0945178065681687, 'delta': -0.008089229992245501}, {'weights': [-0.9294191637338444, 0.3718359286128535, -1.5298477541674684, -0.005248436222226292, -3.332208896536431, 3.5637000656553175, 3.2459569034834246, -2.3464412772248555, -3.6242690126618777, -0.6935603960019584], 'output': 0.029603579715752438, 'delta': -0.0008504281856376867}]
node #0: {'weights': [-2.9323767876514872, 0.45561752066643085, -2.505689659614186, -2.1007508176644003, 5.915893628796161, -0.8844603313885405, -0.15026699991815107, 0.10171878438739061, -2.565301346240864, -2.1816183568488006], 'output': 0.5968196803362459, 'delta': 0.0970156472386379}
node #1: {'weights': [3.3702423576147056, 0.28692298352039597, 1.612086857093134, -0.8291573061966124, 1.7945051643150365, -5.649713409926743, 1.3301725636814632, 1.2567724427865081, 5.9078822004585305, -5.117391164115289], 'output': 0.08240216000397785, 'delta': -0.006230595750441991}
node #2: {'weights': [-0.9429498691197864, -0.25609474076760524, -0.9974182093550259, 1.8740173491679852, 0.9540588853684692, -0.5604155296719464, -0.8743432445287117, 0.08742933193866315, -0.8429923949663486, -2.5553691883614253], 'output': 0.11949135676597282, 'delta': -0.012572064722619875}
node #3: {'weights': [2.5999772052108114, 0.31116090054806017, 2.9092635264112414, -1.4953385700998578, -5.615758155862461, -1.985457212107215, -2.397119850425155, 1.632577145390567, 3.5776162801453046, -2.4173732027439083], 'output': 0.0018667775269288513, 'delta': -3.478352879822202e-06}
node #4: {'weights': [-2.0856739928747543, -0.031310169925612225, 1.88637158618766, 1.0771037773217575, -2.050809835773255, -2.1413592910761867, -0.5605401560041446, -0.8710224774610724, -2.500873473320691, -1.4434036406200155], 'output': 0.0945178065681687, 'delta': -0.008089229992245501}
node #5: {'weights': [-0.9294191637338444, 0.3718359286128535, -1.5298477541674684, -0.005248436222226292, -3.332208896536431, 3.5637000656553175, 3.2459569034834246, -2.3464412772248555, -3.6242690126618777, -0.6935603960019584], 'output': 0.029603579715752438, 'delta': -0.0008504281856376867}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 6.0; actual: 6.0
