options: {'rename_cols': {1: 'vendor', 2: 'model', 3: 'MYCT', 4: 'MMIN', 5: 'MMAX', 6: 'CACH', 7: 'CHMIN', 8: 'CHMAX', 9: 'PRP'}, 'result_col': 10, 'drop_columns': ['model', 'PRP']}
        vendor  MYCT   MMIN   MMAX  CACH  CHMIN  CHMAX  result
better split found on 0 at amdahl with mse=8179.599999999999
better split found on 0 at ibm with mse=6583.3
better split found on 0 at nas with mse=142.15
better split found on 1 at 26 with mse=142.15
better split found on 4 at 64 with mse=142.15
better split found on 0 at amdahl with mse=15.125
better split found on 0 at ibm with mse=15.125
better split found on 1 at 23 with mse=15.125
better split found on 6 at 24 with mse=15.125
better split found on 0 at ibm with mse=30.25
better split found on 1 at 26 with mse=30.25
better split found on 2 at 16000 with mse=30.25
better split found on 3 at 32000 with mse=30.25
better split found on 4 at 64 with mse=30.25
better split found on 5 at 8 with mse=0.0
better split found on 0 at amdahl with mse=580.1666666666666
better split found on 0 at sperry with mse=580.1666666666666
better split found on 1 at 23 with mse=580.1666666666666
better split found on 2 at 8000 with mse=580.1666666666666
better split found on 5 at 12 with mse=580.1666666666666
better split found on 6 at 64 with mse=580.1666666666666
better split found on 0 at sperry with mse=870.25
better split found on 1 at 30 with mse=870.25
better split found on 2 at 8000 with mse=870.25
better split found on 3 at 64000 with mse=870.25
better split found on 4 at 96 with mse=0.0
pred: 41.00 actual: 199.00
pred: 20.00 actual: 23.00
pred: 40.00 actual: 35.00
pred: 25.00 actual: 102.00
pred: 44.00 actual: 41.00
pred: 34.00 actual: 34.00
pred: 34.00 actual: 34.00
pred: 54.00 actual: 47.00
pred: 20.00 actual: 23.00
pred: 181.00 actual: 181.00
pred: 20.00 actual: 21.00
pred: 30.00 actual: 28.00
pred: 82.00 actual: 101.00
pred: 132.00 actual: 128.00
pred: 53.00 actual: 53.00
pred: 132.00 actual: 126.00
pred: 28.00 actual: 35.00
pred: 20.00 actual: 21.00
pred: 56.00 actual: 53.00
pred: 253.00 actual: 183.00
pred: 24.00 actual: 24.00
try cutoff value: 2
better split found on 0 at amdahl with mse=22143.114418914418
better split found on 1 at 23 with mse=22052.135570776256
better split found on 1 at 30 with mse=15006.90763681592
better split found on 1 at 35 with mse=14858.353318590594
better split found on 2 at 4000 with mse=14483.447220643937
better split found on 2 at 5240 with mse=13765.322205128205
better split found on 3 at 16000 with mse=13373.028266666666
better split found on 3 at 20970 with mse=12736.997197306859
better split found on 3 at 24000 with mse=12425.67382051282
better split found on 3 at 32000 with mse=8884.727891156464
better split found on 0 at amdahl with mse=6973.494186327018
better split found on 1 at 26 with mse=6638.087087975288
better split found on 1 at 29 with mse=6246.927891156462
better split found on 1 at 30 with mse=5074.268520037177
better split found on 1 at 35 with mse=4780.899058871669
better split found on 1 at 38 with mse=4636.377788779986
better split found on 1 at 40 with mse=4340.08269591301
better split found on 1 at 48 with mse=4338.237555339596
better split found on 2 at 4000 with mse=3672.5856969432516
better split found on 2 at 5240 with mse=3513.378560655031
better split found on 3 at 16000 with mse=2458.421583178727
better split found on 3 at 20970 with mse=2299.410287106969
better split found on 0 at amdahl with mse=1005.5016247969004
better split found on 0 at gould with mse=989.2280944881891
better split found on 1 at 29 with mse=960.6538633890272
better split found on 1 at 38 with mse=894.4707255343087
better split found on 1 at 50 with mse=893.519978634746
better split found on 1 at 56 with mse=887.749734634275
better split found on 1 at 57 with mse=876.2094634004085
better split found on 1 at 59 with mse=815.2374589260086
better split found on 1 at 60 with mse=722.9428715027643
better split found on 1 at 64 with mse=671.5061159338006
better split found on 1 at 70 with mse=666.7569643468478
better split found on 1 at 72 with mse=632.5338369865931
better split found on 1 at 75 with mse=531.8242549162353
better split found on 3 at 8000 with mse=394.2600924884389
better split found on 3 at 12000 with mse=368.698358630533
better split found on 0 at apollo with mse=268.0129702970297
better split found on 0 at basf with mse=258.5761386138615
better split found on 0 at cdc with mse=255.51196794937232
better split found on 0 at gould with mse=255.00039603960386
better split found on 0 at ibm with mse=253.11878276062902
better split found on 1 at 38 with mse=229.39381693271378
better split found on 1 at 59 with mse=215.66551538874813
better split found on 1 at 60 with mse=204.7252402446127
better split found on 1 at 70 with mse=194.5840405469118
better split found on 1 at 72 with mse=192.88117486447436
better split found on 1 at 75 with mse=173.73975675345312
better split found on 2 at 1000 with mse=164.26297832485955
better split found on 3 at 4000 with mse=120.16764353322127
better split found on 3 at 4500 with mse=115.6494202402972
better split found on 3 at 5000 with mse=102.48409158027263
better split found on 3 at 6000 with mse=92.78407983655511
better split found on 0 at apollo with mse=26.420129870129866
better split found on 0 at c.r.d with mse=26.122268907563033
better split found on 0 at cambex with mse=25.94480519480519
better split found on 0 at dec with mse=25.586363636363632
better split found on 0 at hp with mse=25.583791208791208
better split found on 0 at microdata with mse=25.21623376623379
better split found on 0 at siemens with mse=24.03212039532794
better split found on 1 at 115 with mse=23.676948051948052
better split found on 1 at 140 with mse=23.470673635307783
better split found on 1 at 150 with mse=22.446532999164578
better split found on 1 at 225 with mse=22.256933041415802
better split found on 1 at 320 with mse=21.45603948896632
better split found on 1 at 400 with mse=20.75
better split found on 2 at 1000 with mse=19.122340425531917
better split found on 3 at 1000 with mse=18.390252976190474
better split found on 3 at 1500 with mse=17.22939885173927
better split found on 3 at 2000 with mse=9.800992063492064
better split found on 3 at 3000 with mse=9.342038396386224
better split found on 3 at 3500 with mse=9.29780505952381
better split found on 0 at apollo with mse=4.442028985507245
better split found on 0 at ibm with mse=4.051820728291317
better split found on 1 at 400 with mse=3.5925925925925926
better split found on 3 at 1000 with mse=2.7760416666666665
better split found on 3 at 1500 with mse=2.342592592592592
better split found on 0 at dec with mse=1.2083333333333333
better split found on 0 at four-phase with mse=1.0555555555555556
better split found on 0 at ibm with mse=0.8833333333333333
better split found on 2 at 96 with mse=0.16666666666666666
better split found on 0 at dec with mse=0.17857142857142858
better split found on 0 at four-phase with mse=0.10714285714285712
better split found on 0 at ncr with mse=0.1071428571428571
better split found on 1 at 125 with mse=0.08333333333333334
better split found on 0 at four-phase with mse=0.16666666666666666
better split found on 0 at hp with mse=0.0
better split found on 1 at 90 with mse=0.0
better split found on 2 at 256 with mse=0.0
better split found on 0 at apollo with mse=2.5142857142857142
better split found on 0 at harris with mse=1.9282051282051285
better split found on 3 at 2000 with mse=1.3151515151515152
better split found on 4 at 2 with mse=1.2799999999999998
better split found on 0 at burroughs with mse=0.9555555555555558
better split found on 0 at harris with mse=0.488888888888889
better split found on 3 at 2000 with mse=0.488888888888889
better split found on 5 at 3 with mse=0.1375
better split found on 0 at dg with mse=0.0
data [['harris' 300 768 3000 0 6 24 23]
 ['burroughs' 143 1000 2000 0 5 16 22]] 
has less than 2 samples, prune subtree
better split found on 0 at apollo with mse=1.2000000000000002
better split found on 0 at c.r.d with mse=1.0
better split found on 0 at harris with mse=0.55
better split found on 2 at 524 with mse=0.55
better split found on 5 at 4 with mse=0.55
better split found on 6 at 5 with mse=0.39999999999999997
better split found on 0 at apollo with mse=0.6666666666666666
better split found on 0 at burroughs with mse=0.16666666666666666
better split found on 0 at harris with mse=0.16666666666666666
better split found on 1 at 167 with mse=0.16666666666666666
better split found on 2 at 524 with mse=0.16666666666666666
better split found on 3 at 2000 with mse=0.16666666666666666
better split found on 4 at 6 with mse=0.16666666666666666
better split found on 5 at 4 with mse=0.16666666666666666
better split found on 6 at 15 with mse=0.16666666666666666
data [['apollo' 400 512 3500 4 1 6 24]
 ['burroughs' 167 524 2000 8 4 15 23]] 
has less than 2 samples, prune subtree
better split found on 0 at burroughs with mse=12.417338709677418
better split found on 0 at c.r.d with mse=12.3671875
better split found on 0 at cambex with mse=12.346774193548393
better split found on 0 at dg with mse=12.346774193548393
better split found on 0 at ibm with mse=12.212142857142856
better split found on 0 at microdata with mse=11.74798387096774
better split found on 0 at perkin-elmer with mse=11.134375000000004
better split found on 0 at siemens with mse=8.584374999999998
better split found on 1 at 150 with mse=8.355516194331981
better split found on 4 at 4 with mse=6.880397727272728
better split found on 0 at burroughs with mse=4.376623376623377
better split found on 0 at microdata with mse=2.7835497835497836
better split found on 5 at 7 with mse=2.7835497835497836
better split found on 6 at 32 with mse=2.7835497835497836
better split found on 0 at burroughs with mse=2.6095238095238087
better split found on 0 at c.r.d with mse=2.5623249299719877
better split found on 0 at perkin-elmer with mse=2.2456140350877174
better split found on 0 at sperry with mse=2.2456140350877174
better split found on 1 at 143 with mse=2.2351190476190474
better split found on 2 at 1000 with mse=2.21498599439776
better split found on 0 at burroughs with mse=2.172794117647059
better split found on 0 at c.r.d with mse=1.8721719457013575
better split found on 3 at 4000 with mse=1.0864527629233514
better split found on 0 at honeywell with mse=1.418181818181818
better split found on 0 at hp with mse=0.6272727272727272
better split found on 2 at 512 with mse=0.6181818181818182
better split found on 0 at perkin-elmer with mse=0.13333333333333333
better split found on 0 at prime with mse=0.0
better split found on 1 at 160 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 0 at honeywell with mse=0.8
better split found on 0 at hp with mse=0.2
better split found on 6 at 6 with mse=0.2
better split found on 0 at honeywell with mse=0.15000000000000002
better split found on 0 at ibm with mse=0.13333333333333333
better split found on 4 at 0 with mse=0.13333333333333333
better split found on 0 at honeywell with mse=0.16666666666666666
better split found on 0 at ncr with mse=0.0
better split found on 1 at 56 with mse=0.0
better split found on 0 at burroughs with mse=0.2
better split found on 1 at 143 with mse=0.2
better split found on 5 at 1 with mse=0.2
better split found on 6 at 24 with mse=0.2
better split found on 0 at c.r.d with mse=0.15000000000000002
better split found on 0 at harris with mse=0.15000000000000002
better split found on 1 at 300 with mse=0.15000000000000002
better split found on 2 at 512 with mse=0.15000000000000002
better split found on 3 at 4500 with mse=0.15000000000000002
better split found on 3 at 5000 with mse=0.13333333333333333
better split found on 0 at c.r.d with mse=0.16666666666666666
better split found on 0 at harris with mse=0.16666666666666666
better split found on 1 at 300 with mse=0.16666666666666666
better split found on 2 at 256 with mse=0.16666666666666666
better split found on 2 at 512 with mse=0.16666666666666666
better split found on 3 at 4500 with mse=0.16666666666666666
better split found on 4 at 0 with mse=0.16666666666666666
better split found on 6 at 5 with mse=0.0
better split found on 0 at honeywell with mse=0.16666666666666669
better split found on 0 at ibm with mse=0.125
better split found on 0 at nas with mse=0.0
better split found on 1 at 115 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 0 at cambex with mse=11.488888888888884
better split found on 0 at cdc with mse=10.955555555555554
better split found on 0 at prime with mse=10.955555555555554
better split found on 0 at siemens with mse=7.6875
better split found on 3 at 4000 with mse=2.5875000000000004
better split found on 0 at cambex with mse=0.9642857142857144
better split found on 0 at cdc with mse=0.7142857142857144
better split found on 0 at honeywell with mse=0.6071428571428571
better split found on 2 at 1000 with mse=0.21875
better split found on 0 at cambex with mse=0.16666666666666669
better split found on 0 at cdc with mse=0.16666666666666669
better split found on 0 at dg with mse=0.16666666666666669
better split found on 0 at prime with mse=0.16666666666666669
better split found on 1 at 110 with mse=0.16666666666666669
better split found on 4 at 8 with mse=0.16666666666666669
better split found on 5 at 1 with mse=0.16666666666666669
better split found on 6 at 2 with mse=0.16666666666666669
better split found on 6 at 5 with mse=0.16666666666666669
better split found on 0 at cambex with mse=0.16666666666666666
better split found on 0 at cdc with mse=0.0
better split found on 0 at honeywell with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 8 with mse=0.0
data [['siemens' 105 2000 6000 16 6 16 41]
 ['ibm' 115 512 6000 16 1 6 35]] 
has less than 2 samples, prune subtree
better split found on 0 at basf with mse=167.6419191919192
better split found on 0 at cdc with mse=164.33280423280422
better split found on 0 at formation with mse=153.28518518518516
better split found on 1 at 38 with mse=142.57566137566138
better split found on 1 at 60 with mse=135.0488782051282
better split found on 1 at 70 with mse=126.96973886328728
better split found on 1 at 75 with mse=116.63991596638657
better split found on 4 at 16 with mse=101.47629629629628
better split found on 4 at 24 with mse=85.35998931623931
better split found on 0 at burroughs with mse=61.738505747126446
better split found on 0 at formation with mse=49.80603448275862
better split found on 1 at 110 with mse=45.94117647058823
better split found on 1 at 115 with mse=45.763671875
better split found on 3 at 8000 with mse=24.87464285714286
better split found on 0 at burroughs with mse=23.590303030303033
better split found on 0 at cdc with mse=23.573333333333334
better split found on 0 at dec with mse=21.62121212121212
better split found on 0 at formation with mse=14.443636363636362
better split found on 1 at 105 with mse=13.769333333333336
better split found on 1 at 110 with mse=12.594285714285714
better split found on 1 at 115 with mse=10.652307692307694
better split found on 0 at burroughs with mse=8.90909090909091
better split found on 0 at cdc with mse=8.636363636363637
better split found on 0 at hp with mse=3.1818181818181808
better split found on 0 at burroughs with mse=3.463636363636363
better split found on 0 at cdc with mse=3.3090909090909095
better split found on 0 at ipl with mse=3.1111111111111107
better split found on 0 at nas with mse=2.8080808080808084
better split found on 1 at 56 with mse=2.121212121212121
better split found on 4 at 8 with mse=2.003030303030303
better split found on 0 at burroughs with mse=3.0
better split found on 1 at 56 with mse=3.0
better split found on 2 at 2000 with mse=1.4583333333333333
better split found on 0 at cdc with mse=1.5
better split found on 0 at ipl with mse=1.125
better split found on 0 at ncr with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 6 at 6 with mse=0.0
data [['burroughs' 110 3100 6200 0 6 64 45]
 ['ncr' 56 4000 8000 0 1 8 47]] 
has less than 2 samples, prune subtree
better split found on 0 at magnuson with mse=0.39999999999999997
better split found on 1 at 72 with mse=0.15000000000000002
better split found on 5 at 3 with mse=0.1
better split found on 6 at 6 with mse=0.1
data [['siemens' 105 2000 8000 16 4 14 47]
 ['nas' 72 2000 8000 16 6 8 48]] 
has less than 2 samples, prune subtree
better split found on 0 at burroughs with mse=12.080419580419578
better split found on 0 at dg with mse=11.307692307692308
better split found on 0 at formation with mse=5.353846153846154
better split found on 1 at 400 with mse=5.353846153846154
better split found on 2 at 256 with mse=5.353846153846154
better split found on 2 at 512 with mse=4.2153846153846155
better split found on 0 at dec with mse=0.4
better split found on 0 at formation with mse=0.4
better split found on 1 at 320 with mse=0.4
better split found on 2 at 256 with mse=0.4
better split found on 4 at 0 with mse=0.4
better split found on 6 at 4 with mse=0.4
data [['dec' 320 512 8000 4 1 5 36]
 ['dec' 200 512 8000 8 1 8 38]] 
has less than 2 samples, prune subtree
better split found on 0 at burroughs with mse=4.5
better split found on 0 at ibm with mse=2.964285714285714
better split found on 0 at sperry with mse=2.964285714285714
better split found on 1 at 124 with mse=2.964285714285714
better split found on 1 at 143 with mse=1.9833333333333334
better split found on 0 at burroughs with mse=2.2333333333333334
better split found on 0 at dec with mse=1.75
better split found on 0 at sperry with mse=0.55
better split found on 1 at 124 with mse=0.55
better split found on 5 at 1 with mse=0.55
better split found on 6 at 8 with mse=0.55
better split found on 0 at burroughs with mse=0.125
better split found on 1 at 133 with mse=0.125
better split found on 2 at 2000 with mse=0.125
better split found on 3 at 6200 with mse=0.125
better split found on 5 at 3 with mse=0.125
better split found on 6 at 14 with mse=0.125
data [['burroughs' 143 3100 6200 0 5 20 39]
 ['burroughs' 143 2300 6200 0 6 64 40]] 
has less than 2 samples, prune subtree
better split found on 0 at dg with mse=0.6666666666666666
better split found on 0 at ibm with mse=0.16666666666666666
better split found on 1 at 220 with mse=0.16666666666666666
better split found on 2 at 1000 with mse=0.16666666666666666
better split found on 4 at 0 with mse=0.16666666666666666
better split found on 6 at 1 with mse=0.16666666666666666
data [['dg' 220 1000 8000 16 1 2 42]
 ['prime' 160 1000 8000 16 1 14 43]] 
has less than 2 samples, prune subtree
better split found on 0 at dec with mse=27.26190476190476
better split found on 0 at harris with mse=15.67142857142857
better split found on 0 at siemens with mse=13.333333333333334
better split found on 1 at 70 with mse=7.345238095238095
better split found on 2 at 1000 with mse=7.345238095238095
better split found on 0 at dec with mse=4.5
better split found on 0 at dg with mse=2.1666666666666665
better split found on 0 at harris with mse=1.625
better split found on 1 at 133 with mse=1.625
better split found on 1 at 180 with mse=1.1666666666666665
better split found on 2 at 384 with mse=1.1666666666666665
better split found on 0 at dec with mse=1.5
better split found on 0 at dg with mse=0.16666666666666666
better split found on 1 at 110 with mse=0.16666666666666666
better split found on 4 at 9 with mse=0.16666666666666666
better split found on 6 at 2 with mse=0.16666666666666666
data [['harris' 180 768 12000 6 1 31 53]
 ['dec' 133 1000 12000 9 3 12 54]] 
has less than 2 samples, prune subtree
better split found on 0 at ibm with mse=4.166666666666666
better split found on 0 at siemens with mse=1.5
better split found on 1 at 56 with mse=1.5
better split found on 5 at 1 with mse=1.5
data [['ncr' 56 4000 12000 0 1 8 62]
 ['ibm' 25 2000 12000 8 1 4 59]] 
has less than 2 samples, prune subtree
better split found on 0 at basf with mse=137.97435897435898
better split found on 0 at cdc with mse=128.6853146853147
better split found on 0 at nas with mse=123.91666666666669
better split found on 0 at ncr with mse=105.6923076923077
better split found on 1 at 38 with mse=105.6923076923077
better split found on 1 at 50 with mse=89.65811965811966
better split found on 1 at 59 with mse=58.667307692307695
better split found on 1 at 60 with mse=52.64285714285714
better split found on 1 at 75 with mse=26.41758241758242
better split found on 0 at basf with mse=7.904761904761903
better split found on 2 at 2620 with mse=2.2023809523809526
better split found on 0 at basf with mse=0.16666666666666666
better split found on 4 at 64 with mse=0.16666666666666666
better split found on 6 at 8 with mse=0.16666666666666666
better split found on 0 at cdc with mse=0.0
better split found on 0 at gould with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 3 at 8000 with mse=0.0
better split found on 4 at 30 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 24 with mse=0.0
better split found on 0 at ncr with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 38 with mse=0.0
better split found on 3 at 8000 with mse=0.0
better split found on 5 at 6 with mse=0.0
better split found on 6 at 12 with mse=0.0
better split found on 0 at honeywell with mse=39.53333333333333
better split found on 0 at nixdorf with mse=11.533333333333333
better split found on 4 at 32 with mse=11.533333333333333
better split found on 0 at honeywell with mse=9.0
better split found on 0 at wang with mse=6.0
better split found on 1 at 140 with mse=6.0
better split found on 2 at 512 with mse=6.0
better split found on 2 at 1000 with mse=2.6333333333333333
data [['wang' 480 512 8000 32 0 0 47]
 ['sperry' 98 1000 8000 32 2 8 50]] 
has less than 2 samples, prune subtree
better split found on 0 at honeywell with mse=1.5
better split found on 0 at nas with mse=0.16666666666666666
better split found on 1 at 92 with mse=0.16666666666666666
better split found on 6 at 6 with mse=0.16666666666666666
data [['honeywell' 140 2000 8000 32 1 54 57]
 ['sperry' 116 2000 8000 32 5 28 56]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=717.1446153846155
better split found on 0 at bti with mse=696.2215384615383
better split found on 0 at cambex with mse=688.897435897436
better split found on 0 at cdc with mse=650.5320512820513
better split found on 0 at gould with mse=631.8369230769233
better split found on 1 at 75 with mse=544.2542124542125
better split found on 2 at 2000 with mse=469.72189349112426
better split found on 2 at 4000 with mse=423.7615384615385
better split found on 4 at 16 with mse=373.79393939393935
better split found on 4 at 24 with mse=203.97619047619048
better split found on 0 at bti with mse=99.50549450549451
better split found on 1 at 26 with mse=36.50549450549451
better split found on 2 at 4000 with mse=36.50549450549451
better split found on 5 at 6 with mse=36.50549450549451
better split found on 0 at bti with mse=23.865384615384617
better split found on 1 at 75 with mse=20.984615384615388
better split found on 2 at 1000 with mse=20.35897435897436
better split found on 0 at bti with mse=0.16666666666666666
better split found on 2 at 512 with mse=0.16666666666666666
better split found on 4 at 0 with mse=0.16666666666666666
better split found on 5 at 2 with mse=0.16666666666666666
data [['dg' 140 1000 16000 16 1 3 72]
 ['honeywell' 300 1000 16000 8 2 112 73]] 
has less than 2 samples, prune subtree
better split found on 0 at cambex with mse=12.600000000000001
better split found on 0 at ibm with mse=8.399999999999999
better split found on 1 at 75 with mse=5.666666666666666
better split found on 0 at ibm with mse=7.199999999999999
better split found on 0 at ipl with mse=6.666666666666666
better split found on 0 at nas with mse=6.133333333333333
better split found on 1 at 57 with mse=6.133333333333333
better split found on 4 at 12 with mse=4.833333333333333
data [['magnuson' 50 2000 16000 12 3 16 80]
 ['ibm' 57 4000 16000 1 6 12 82]] 
has less than 2 samples, prune subtree
better split found on 0 at ipl with mse=0.5
data [['magnuson' 50 2000 16000 24 6 16 88]
 ['nas' 75 4000 16000 16 1 6 86]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=300.3484848484848
better split found on 0 at basf with mse=293.0757575757576
better split found on 0 at cdc with mse=283.1333333333333
better split found on 0 at gould with mse=221.5606060606061
better split found on 0 at nas with mse=150.80208333333334
better split found on 6 at 16 with mse=143.45833333333331
better split found on 0 at amdahl with mse=151.92857142857144
better split found on 0 at nas with mse=106.6875
better split found on 0 at ncr with mse=98.35714285714286
better split found on 1 at 38 with mse=96.10000000000001
better split found on 2 at 4000 with mse=61.75
better split found on 0 at basf with mse=69.0
better split found on 0 at nas with mse=63.875
better split found on 1 at 50 with mse=63.875
better split found on 1 at 60 with mse=61.2
better split found on 4 at 32 with mse=52.875
better split found on 6 at 6 with mse=16.200000000000006
better split found on 0 at basf with mse=18.8
better split found on 0 at nas with mse=18.633333333333333
better split found on 1 at 50 with mse=18.633333333333333
better split found on 1 at 60 with mse=14.15
better split found on 2 at 2000 with mse=1.8
better split found on 0 at basf with mse=2.166666666666667
better split found on 0 at ibm with mse=1.5
better split found on 0 at nas with mse=1.25
better split found on 1 at 50 with mse=1.25
better split found on 1 at 60 with mse=0.16666666666666666
better split found on 5 at 6 with mse=0.16666666666666666
better split found on 6 at 12 with mse=0.16666666666666666
better split found on 0 at basf with mse=0.16666666666666666
better split found on 0 at ibm with mse=0.0
better split found on 1 at 17 with mse=0.0
better split found on 4 at 32 with mse=0.0
better split found on 5 at 5 with mse=0.0
better split found on 6 at 8 with mse=0.0
data [['ncr' 38 8000 16000 64 4 8 142]
 ['amdahl' 29 8000 16000 32 8 16 132]] 
has less than 2 samples, prune subtree
better split found on 0 at cdc with mse=8.5
better split found on 3 at 16000 with mse=8.5
better split found on 4 at 30 with mse=8.5
data [['cdc' 56 5240 20970 30 12 24 138]
 ['cdc' 64 5240 20970 30 12 24 136]] 
has less than 2 samples, prune subtree
data [['siemens' 59 8000 16000 64 12 24 149]
 ['gould' 75 2000 16000 128 1 38 157]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=9903.840000000002
better split found on 0 at honeywell with mse=8953.613888888889
better split found on 1 at 26 with mse=8798.827380952382
better split found on 1 at 30 with mse=6535.627272727273
better split found on 2 at 8000 with mse=4347.426666666666
better split found on 0 at amdahl with mse=2634.9944444444445
better split found on 0 at honeywell with mse=2240.153846153846
better split found on 1 at 38 with mse=1969.7571428571428
better split found on 1 at 40 with mse=1746.3916666666667
better split found on 2 at 4000 with mse=1746.3916666666667
better split found on 4 at 48 with mse=1693.4488095238098
better split found on 0 at amdahl with mse=432.6857142857143
better split found on 1 at 29 with mse=432.6857142857143
better split found on 2 at 4000 with mse=432.6857142857143
better split found on 0 at honeywell with mse=587.7333333333333
better split found on 0 at nas with mse=346.55
better split found on 0 at sperry with mse=303.3
better split found on 4 at 32 with mse=126.15
better split found on 5 at 8 with mse=126.15
better split found on 0 at honeywell with mse=124.625
better split found on 0 at nas with mse=7.166666666666666
better split found on 1 at 48 with mse=7.166666666666666
better split found on 2 at 2000 with mse=7.166666666666666
better split found on 3 at 24000 with mse=7.166666666666666
better split found on 5 at 6 with mse=7.166666666666666
better split found on 0 at honeywell with mse=6.0
better split found on 0 at sperry with mse=6.0
better split found on 1 at 50 with mse=6.0
better split found on 4 at 24 with mse=6.0
better split found on 5 at 1 with mse=6.0
better split found on 6 at 20 with mse=0.16666666666666666
data [['honeywell' 140 2000 32000 32 1 54 181]
 ['sperry' 50 2000 32000 24 6 26 182]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=1870.1785714285716
better split found on 0 at ibm with mse=522.9285714285713
better split found on 1 at 50 with mse=522.9285714285713
better split found on 0 at amdahl with mse=592.1904761904763
better split found on 0 at nas with mse=390.48809523809524
better split found on 0 at sperry with mse=61.547619047619044
better split found on 1 at 40 with mse=61.547619047619044
better split found on 2 at 2000 with mse=61.547619047619044
better split found on 5 at 12 with mse=61.547619047619044
better split found on 6 at 32 with mse=61.547619047619044
better split found on 0 at amdahl with mse=25.799999999999997
better split found on 0 at nas with mse=20.444444444444443
better split found on 0 at nas with mse=2.888888888888889
better split found on 1 at 35 with mse=0.16666666666666666
data [['nas' 40 8000 32000 64 8 24 266]
 ['nas' 38 8000 32000 64 8 24 267]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=6.0
better split found on 6 at 16 with mse=6.0
data [['siemens' 26 8000 32000 64 12 16 275]
 ['ncr' 38 8000 24000 160 4 8 281]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=8179.599999999999
better split found on 0 at ibm with mse=6583.3
better split found on 0 at nas with mse=142.15
better split found on 1 at 26 with mse=142.15
better split found on 4 at 64 with mse=142.15
better split found on 0 at amdahl with mse=15.125
better split found on 0 at ibm with mse=15.125
better split found on 1 at 23 with mse=15.125
better split found on 6 at 24 with mse=15.125
data [['ibm' 26 16000 32000 64 16 24 361]
 ['ibm' 26 16000 32000 64 8 24 350]] 
has less than 2 samples, prune subtree
better split found on 0 at amdahl with mse=580.1666666666666
better split found on 0 at sperry with mse=580.1666666666666
better split found on 1 at 23 with mse=580.1666666666666
better split found on 2 at 8000 with mse=580.1666666666666
better split found on 5 at 12 with mse=580.1666666666666
better split found on 6 at 64 with mse=580.1666666666666
data [['sperry' 30 8000 64000 96 12 176 919]
 ['sperry' 30 8000 64000 128 12 176 978]] 
has less than 2 samples, prune subtree
pred: 38.00 actual: 199.00
pred: 20.00 actual: 23.00
pred: 39.50 actual: 35.00
pred: 25.00 actual: 102.00
pred: 44.00 actual: 41.00
pred: 34.00 actual: 34.00
pred: 34.00 actual: 34.00
pred: 54.00 actual: 47.00
pred: 20.00 actual: 23.00
pred: 181.50 actual: 181.00
pred: 20.00 actual: 21.00
pred: 30.00 actual: 28.00
pred: 81.00 actual: 101.00
pred: 137.00 actual: 128.00
pred: 53.00 actual: 53.00
pred: 137.00 actual: 126.00
pred: 28.00 actual: 35.00
pred: 20.00 actual: 21.00
pred: 56.50 actual: 53.00
pred: 253.00 actual: 183.00
pred: 24.00 actual: 24.00
try cutoff value: 3
better split found on 0 at amdahl with mse=22143.114418914418
better split found on 1 at 23 with mse=22052.135570776256
better split found on 1 at 30 with mse=15006.90763681592
better split found on 1 at 35 with mse=14858.353318590594
better split found on 2 at 4000 with mse=14483.447220643937
better split found on 2 at 5240 with mse=13765.322205128205
better split found on 3 at 16000 with mse=13373.028266666666
better split found on 3 at 20970 with mse=12736.997197306859
better split found on 3 at 24000 with mse=12425.67382051282
better split found on 3 at 32000 with mse=8884.727891156464
better split found on 0 at amdahl with mse=6973.494186327018
better split found on 1 at 26 with mse=6638.087087975288
better split found on 1 at 29 with mse=6246.927891156462
better split found on 1 at 30 with mse=5074.268520037177
better split found on 1 at 35 with mse=4780.899058871669
better split found on 1 at 38 with mse=4636.377788779986
better split found on 1 at 40 with mse=4340.08269591301
better split found on 1 at 48 with mse=4338.237555339596
better split found on 2 at 4000 with mse=3672.5856969432516
better split found on 2 at 5240 with mse=3513.378560655031
better split found on 3 at 16000 with mse=2458.421583178727
better split found on 3 at 20970 with mse=2299.410287106969
better split found on 0 at amdahl with mse=1005.5016247969004
better split found on 0 at gould with mse=989.2280944881891
better split found on 1 at 29 with mse=960.6538633890272
better split found on 1 at 38 with mse=894.4707255343087
better split found on 1 at 50 with mse=893.519978634746
better split found on 1 at 56 with mse=887.749734634275
better split found on 1 at 57 with mse=876.2094634004085
